species,median,low,up,probPos,probNeg
Erynnis persius,0.005,-0.075,0.091,0.55,0.45
Erynnis propertius,-0.016,-0.098,0.067,0.337,0.663
Erynnis scudderi,-0.018,0,-0.035,0.024,0.976
Erynnis tristis,0.001,-0.053,0.056,0.512,0.488
Euchloe ausonides,-0.013,-0.103,0.073,0.38,0.62
Euchloe hyantis,-0.047,0.053,-0.144,0.161,0.839
Euphilotes battoides,0.003,-0.063,0.068,0.534,0.466
Euphilotes enoptes,0.008,-0.051,0.068,0.61,0.39
Euphydryas chalcedona,0,-0.045,0.049,0.502,0.498
Euphydryas editha,-0.028,-0.198,0.154,0.359,0.641
Euphydryas gillettii,0.014,0.093,-0.069,0.644,0.356
Euphyes vestris,0.018,-0.103,0.13,0.635,0.365
Euptoieta claudia,-0.002,-0.097,0.098,0.487,0.513
Euptoieta hegesia,0.006,0.021,-0.008,0.809,0.191
Eurema mexicana,0.005,-0.222,0.223,0.524,0.476
Eurema nicippe,0.011,-0.093,0.117,0.592,0.408
Eurema proterpia,0.016,-0.692,0.68,0.534,0.466
Everes amyntula,-0.016,-0.107,0.071,0.35,0.65
Everes comyntas,-0.021,-0.247,0.197,0.414,0.586
Glaucopsyche lygdamus,-0.013,-0.089,0.058,0.35,0.65
Glaucopsyche piasus,-0.005,-0.275,0.258,0.481,0.519
Habrodais grunus,0.002,-0.298,0.297,0.507,0.493
Heliopetes ericetorum,0.001,-0.146,0.146,0.505,0.495
Hemiargus ceraunus,-0.005,-0.158,0.142,0.469,0.531
Hemiargus isola,-0.004,-0.082,0.076,0.457,0.543
Hesperia comma,-0.014,-0.086,0.059,0.34,0.66
Hesperia juba,0.004,-0.385,0.384,0.513,0.487
Hesperia lindseyi,-0.022,-2.271,2.52,0.475,0.525
Hesperia nevada,-0.018,-0.694,0.649,0.464,0.536
Hesperia ottoe,0.005,0.027,-0.017,0.681,0.319
Hesperia pahaska,-0.021,-0.228,0.187,0.403,0.597
Hesperia uncas,0.006,0.022,-0.01,0.761,0.239
Hesperia viridis,0.031,-2.757,2.582,0.535,0.465
Hesperopsis alpheus,0.041,0.066,0.018,0.999,0.001
Hylephila phyleus,-0.016,-0.085,0.057,0.324,0.676
Hypaurotis crysalus,-0.009,0.011,-0.028,0.179,0.821
Junonia coenia,-0.021,-0.059,0.015,0.131,0.869
Junonia genoveva,-0.025,-0.7,0.684,0.449,0.551
Kricogonia lyside,0.014,-0.661,0.718,0.525,0.475
Leptotes marina,0.001,-0.055,0.059,0.516,0.484
Lerema accius,0.019,0.038,0.001,0.977,0.023
Lerodea eufala,-0.018,-0.291,0.246,0.432,0.568
Libytheana carinenta,0.006,-0.417,0.404,0.518,0.482
Limenitis archippus,-0.015,-0.291,0.252,0.444,0.556
Limenitis arthemis,-0.009,-0.228,0.196,0.46,0.54
Limenitis lorquini,0.011,-0.017,0.04,0.778,0.222
Limenitis weidemeyerii,-0.016,-0.131,0.094,0.38,0.62
Lycaeides idas,0.004,-0.133,0.14,0.524,0.476
Lycaeides melissa,0.001,-0.052,0.055,0.51,0.49
Lycaena arota,-0.059,-0.305,0.176,0.287,0.713
Lycaena cupreus,-0.044,-2.372,2.465,0.45,0.55
Lycaena dione,0.019,-2.55,2.521,0.522,0.478
Lycaena editha,-0.009,-0.139,0.115,0.437,0.563
Lycaena gorgon,-0.016,-0.293,0.251,0.442,0.558
Lycaena helloides,-0.009,-0.072,0.057,0.393,0.607
Lycaena heteronea,0.005,-0.097,0.106,0.545,0.455
Lycaena hyllus,0.06,0.267,-0.19,0.715,0.285
Lycaena mariposa,0.022,-0.367,0.422,0.564,0.436
Lycaena nivalis,0,-0.147,0.142,0.5,0.5
Lycaena rubidus,-0.013,-0.231,0.2,0.442,0.558
Lycaena xanthoides,-0.018,-0.123,0.086,0.358,0.642
Megisto rubricata,-0.041,-0.33,0.241,0.354,0.646
Ministrymon leda,-0.04,-0.454,0.339,0.391,0.609
Nathalis iole,0.003,-0.084,0.088,0.532,0.468
Neominois ridingsii,0.01,-0.705,0.757,0.52,0.48
Neophasia menapia,-0.008,0.074,-0.087,0.413,0.587
Nymphalis antiopa,-0.012,-0.039,0.017,0.204,0.796
Nymphalis californica,0.013,-0.06,0.087,0.641,0.359
Nymphalis milberti,-0.014,-0.14,0.105,0.402,0.598
Oarisma edwardsii,-0.017,-2.43,2.33,0.481,0.519
Oarisma garita,-0.015,-0.166,0.141,0.414,0.586
Ochlodes agricola,-0.002,-0.074,0.067,0.471,0.529
Ochlodes sylvanoides,0.003,-0.081,0.087,0.529,0.471
Ochlodes yuma,0.008,-2.571,2.6,0.509,0.491
Oeneis chryxus,0.008,-0.144,0.156,0.549,0.451
Oeneis melissa,0.041,0.157,-0.063,0.777,0.223
Oeneis nevadensis,-0.012,-0.411,0.386,0.468,0.532
Oeneis taygete,-0.024,0.071,-0.122,0.3,0.7
Oeneis uhleri,0.026,-2.374,2.46,0.528,0.472
Papilio cresphontes,0.003,-0.398,0.394,0.509,0.491
Papilio eurymedon,0.003,-0.027,0.033,0.571,0.429
Papilio indra,-0.015,-0.405,0.38,0.458,0.542
Papilio multicaudata,0.01,-0.03,0.05,0.695,0.305
Papilio polyxenes,-0.016,-0.159,0.125,0.403,0.597
Papilio rutulus,0.006,-0.016,0.028,0.712,0.288
Papilio zelicaon,-0.006,-0.045,0.031,0.382,0.618
Paramacera allyni,-0.014,0.002,-0.029,0.039,0.961
Paratrytone snowi,-0.007,-0.694,0.672,0.485,0.515
Parnassius clodius,-0.001,-0.138,0.134,0.491,0.509
Parnassius phoebus,-0.024,-0.197,0.153,0.377,0.623
Phoebis agarithe,-0.013,-0.657,0.693,0.472,0.528
Phoebis sennae,0.016,-0.131,0.165,0.591,0.409
Pholisora catullus,-0.011,-0.097,0.072,0.39,0.61
Phyciodes campestris,-0.002,-0.036,0.035,0.46,0.54
Phyciodes mylitta,0.007,-0.024,0.038,0.672,0.328
Phyciodes pallida,-0.019,-2.349,2.519,0.477,0.523
Phyciodes picta,0.011,-0.666,0.696,0.521,0.479
Phyciodes selenis,-0.005,-0.146,0.145,0.469,0.531
Phyciodes texana,-0.02,-0.725,0.675,0.459,0.541
Phyciodes tharos,-0.007,-0.382,0.385,0.477,0.523
Pieris napi,-0.001,-0.076,0.073,0.489,0.511
Pieris rapae,-0.012,-0.035,0.011,0.137,0.863
Piruna cingo,0.079,-0.64,0.793,0.651,0.349
Piruna pirus,-0.02,-0.233,0.191,0.414,0.586
Piruna polingi,0.024,-2.442,2.422,0.527,0.473
Plebejus acmon,-0.016,-0.042,0.009,0.102,0.898
Plebejus icarioides,-0.012,-0.057,0.03,0.283,0.717
Plebejus lupini,-0.012,-0.14,0.123,0.424,0.576
Plebejus neurona,-0.1,-0.004,-0.191,0.018,0.982
Plebejus saepiolus,-0.012,-0.083,0.063,0.371,0.629
Plebejus shasta,0.001,-2.557,2.599,0.501,0.499
Poanes melane,0.025,-0.052,0.099,0.754,0.246
Poanes taxiles,0.003,-0.114,0.117,0.519,0.481
Poladryas arachne,-0.02,-2.325,2.386,0.476,0.524
Polites carus,-0.013,-0.704,0.697,0.475,0.525
Polites draco,0,-2.403,2.237,0.5,0.5
Polites mystic,-0.001,-0.395,0.377,0.495,0.505
Polites origenes,0.012,-2.461,2.467,0.513,0.487
Polites peckius,-0.014,-2.609,2.445,0.484,0.516
Polites sabuleti,-0.014,-0.155,0.134,0.415,0.585
Polites sonora,-0.016,-0.132,0.095,0.381,0.619
Polites themistocles,-0.01,-2.605,2.609,0.49,0.51
Polygonia faunus,-0.046,-2.42,2.128,0.449,0.551
Polygonia gracilis,-0.01,-0.073,0.049,0.369,0.631
Polygonia oreas,-0.027,0.007,-0.059,0.054,0.946
Polygonia satyrus,-0.004,-0.064,0.055,0.444,0.556
Pontia beckerii,0.013,-0.083,0.11,0.613,0.387
Pontia occidentalis,-0.004,-0.078,0.067,0.454,0.546
Pontia protodice,0.002,-0.034,0.041,0.545,0.455
Pontia sisymbrii,-0.082,0.005,-0.175,0.034,0.966
Pyrgus albescens,0,-0.211,0.214,0.501,0.499
Pyrgus communis,-0.002,-0.047,0.043,0.468,0.532
Pyrgus philetas,-0.029,-0.708,0.676,0.44,0.56
Pyrgus ruralis,0,-0.735,0.659,0.5,0.5
Pyrgus scriptura,-0.031,-2.647,2.304,0.465,0.535
Pyrrhopyge araxes,-0.058,-0.78,0.64,0.387,0.613
Satyrium acadica,0.017,0.043,-0.009,0.909,0.091
Satyrium behrii,-0.009,-0.151,0.137,0.442,0.558
Satyrium californica,-0.023,-0.092,0.053,0.247,0.753
Satyrium fuliginosa,-0.017,-0.727,0.672,0.468,0.532
Satyrium liparops,-0.14,-2.92,2.27,0.359,0.641
Satyrium saepium,-0.003,-0.092,0.084,0.472,0.528
Satyrium sylvinus,-0.014,-0.122,0.1,0.394,0.606
Satyrium tetra,-0.017,-0.321,0.282,0.444,0.556
Satyrium titus,-0.006,-0.709,0.686,0.488,0.512
Speyeria adiaste,-0.054,0.086,-0.195,0.216,0.784
Speyeria aphrodite,0.011,-0.271,0.292,0.539,0.461
Speyeria atlantis,-0.017,-0.124,0.085,0.362,0.638
Speyeria callippe,-0.013,-0.065,0.036,0.295,0.705
Speyeria coronis,-0.01,-0.079,0.061,0.387,0.613
Speyeria cybele,-0.026,-0.294,0.255,0.408,0.592
Speyeria edwardsii,0.012,-0.686,0.709,0.525,0.475
Speyeria egleis,0.034,-0.362,0.451,0.588,0.412
Speyeria hydaspe,-0.008,-0.088,0.071,0.417,0.583
Speyeria mormonia,0.003,-0.268,0.272,0.511,0.489
Speyeria zerene,-0.007,-0.107,0.095,0.444,0.556
Staphylus ceos,-0.006,-0.218,0.208,0.471,0.529
Strymon melinus,-0.007,-0.037,0.021,0.311,0.689
Systasea pulverulenta,-0.08,0.025,-0.184,0.067,0.933
Systasea zampa,-0.022,-0.398,0.378,0.435,0.565
Texola elada,0.028,-0.246,0.298,0.6,0.4
Thorybes drusius,0.01,-0.405,0.391,0.531,0.469
Thorybes mexicanus,-0.028,-0.298,0.248,0.398,0.602
Thorybes pylades,0.01,-0.084,0.101,0.589,0.411
Thymelicus lineola,0.149,-2.276,2.624,0.649,0.351
Urbanus dorantes,-0.008,-0.704,0.683,0.484,0.516
Vanessa annabella,-0.034,-0.085,0.019,0.095,0.905
Vanessa atalanta,0.001,-0.033,0.033,0.518,0.482
Vanessa cardui,-0.02,-0.045,0.004,0.053,0.947
Vanessa virginiensis,-0.004,-0.045,0.039,0.431,0.569
Zestusa dorus,0,0.011,-0.01,0.513,0.487
